,setID,number,name,year,theme,pieces,minifigs,packagingType,availability,ageRange,dimensions,licensed,retailPrice
3,220,1271,Jungle Surprise,1999,Adventurers,33.0,1.0,Box,Unknown,{},"{'height': 9.6, 'width': 9.6, 'depth': 3.9}",False,2.0
8,940,2541,Adventurers Car,1998,Adventurers,24.0,1.0,Box,Promotional,{},{},False,2.0
9,941,2542,Adventurers Aeroplane,1998,Adventurers,21.0,1.0,Box,Promotional,{},{},False,2.0
10,1154,2879,Desert Expedition,1998,Adventurers,196.0,5.0,Box,Retail - limited,{},"{'height': 24.0, 'width': 24.0, 'depth': 6.0}",False,20.0
12,1229,2996,Adventurers Tomb,1998,Adventurers,81.0,2.0,Box,Retail - limited,{},"{'height': 9.6, 'width': 19.2, 'depth': 4.8}",False,8.0
22,1768,3722,Treasure Tomb,1998,Adventurers,164.0,0.0,Box,Retail - limited,{},{},False,20.0
23,2926,5900,Adventurer - Johnny Thunder,1998,Adventurers,13.0,1.0,Box,Retail,{},{},False,4.25
24,2927,5901,River Raft,1999,Adventurers,19.0,1.0,Box,Retail,{},{},False,4.5
25,2928,5902,River Raft,1999,Adventurers,19.0,1.0,Polybag,Promotional,{},{},False,4.5
26,2929,5903,Johnny Thunder and Baby T,2000,Adventurers,23.0,1.0,Box,Retail,{},"{'height': 7.2, 'width': 9.6, 'depth': 4.8}",False,2.0
27,2930,5904,Microcopter,2000,Adventurers,28.0,1.0,Box,Retail,{},"{'height': 7.2, 'width': 9.6, 'depth': 4.8}",False,2.0
30,2933,5909,Treasure Raiders,1998,Adventurers,197.0,5.0,Box,Retail,{},{},False,3.75
31,2934,5911,Johnny Thunder's Plane,2000,Adventurers,22.0,1.0,Polybag,Retail - limited,{},"{'height': 9.6, 'width': 14.4, 'depth': 3.9}",False,3.0
32,2935,5912,Mike's Swamp Boat,2000,Adventurers,19.0,1.0,Polybag,Retail - limited,{},{},False,3.0
33,2936,5913,Dr. Kilroy's Car,2000,Adventurers,21.0,1.0,Polybag,Retail - limited,{},"{'height': 9.6, 'width': 14.4, 'depth': 3.9}",False,3.0
34,2937,5914,Sam Sanister and Baby T,2000,Adventurers,21.0,1.0,Box,Retail - limited,{},{},False,3.0
35,2938,5918,Scorpion Tracker,1998,Adventurers,35.0,1.0,Box,Retail,{},"{'height': 7.2, 'width': 14.4, 'depth': 4.8}",False,4.0
36,2939,5919,The Valley of the Kings,1998,Adventurers,164.0,3.0,Box,Retail - limited,{},"{'height': 32.5, 'width': 43.2, 'depth': 7.2}",False,20.0
38,2941,5921,Research Glider,2000,Adventurers,57.0,1.0,Box,Retail,{},"{'height': 9.6, 'width': 19.2, 'depth': 6.0}",False,6.0
39,2944,5925,Pontoon Plane,1999,Adventurers,72.0,1.0,Box,Retail,{},"{'height': 9.6, 'width': 14.4, 'depth': 4.8}",False,6.0
40,2946,5928,Bi-Wing Baron,1998,Adventurers,70.0,1.0,Box,Retail,{},"{'height': 9.6, 'width': 14.4, 'depth': 6.0}",False,6.0
41,2947,5934,Dino Explorer,2000,Adventurers,88.0,2.0,Box,Retail,"{'min': 6, 'max': 12}","{'height': 14.4, 'width': 24.0, 'depth': 6.0}",False,14.99
42,2948,5935,Island Hopper,2000,Adventurers,205.0,1.0,Box,Retail,{},"{'height': 19.2, 'width': 28.8, 'depth': 7.2}",False,20.0
43,2949,5936,Spider's Secret,1999,Adventurers,128.0,3.0,Box,Retail,{},"{'height': 14.4, 'width': 19.2, 'depth': 4.8}",False,12.0
44,2950,5938,Oasis Ambush,1998,Adventurers,77.0,3.0,Box,Retail,{},"{'height': 9.6, 'width': 19.2, 'depth': 4.8}",False,8.0
45,2956,5948,Desert Expedition,1998,Adventurers,196.0,5.0,Box,Retail,{},"{'height': 19.2, 'width': 24.0, 'depth': 6.0}",False,20.0
46,2961,5955,All Terrain Trapper,2000,Adventurers,185.0,3.0,Box,Retail,{},"{'height': 28.8, 'width': 28.8, 'depth': 6.0}",False,30.0
47,2962,5956,Expedition Balloon,1999,Adventurers,175.0,4.0,Box,Retail,{},"{'height': 24.0, 'width': 35.2, 'depth': 14.4}",False,20.0
48,2963,5958,Mummy's Tomb,1998,Adventurers,260.0,4.0,Box,Retail - limited,{},"{'height': 24.0, 'width': 33.6, 'depth': 6.0}",False,30.0
49,2964,5975,T-Rex Transport,2000,Adventurers,321.0,5.0,Box,Retail,{},"{'height': 28.8, 'width': 38.4, 'depth': 7.2}",False,50.0
50,2965,5976,River Expedition,1999,Adventurers,318.0,7.0,Box,Retail,{},"{'height': 28.8, 'width': 38.4, 'depth': 7.2}",False,50.0
